brand,count
apple,14335812
OPPO,10928372
vivo,9732662
HUAWEI,5887464
Xiaomi,4485015
HONOR,3747049
samsung,1982650
Meizu,1700445
xiaomi,1258067
Huawei,781102
GIONEE,477845
Honor,405674
AIXUEBAO,308985
LeEco,273536
honor,237164
OnePlus,236539
Coolpad,233860
GiONEE,227414
nubia,196028
360,186608
Meitu,185664
Lenovo,183788
Letv,158462
SMARTISAN,158031
ZTE,156600
Hisense,79855
CMCC,73636
DOOV,71663
koobee,64804
htc,62778
lephone,55342
EEBBK,55156
TCL,53116
Sony,48706
alps,45332
xiaolajiao,42018
Nokia,36026
Ingenic,34712
blackshark,34362
meizu,31822
oppo,30997
ZUK,30790
ivvi,30084
YUFLY,25416
Android,25274
smartisan,25191
SUGAR,24197
KONKA,24163
CMDC,21608
4G,21554
google,21191
lge,19105
imoo,18928
motorola,18669
asus,17702
BBK,16762
qcom,16538
KOPO,16154
KINGSUN,13638
QiKU,12814
Changhong,11701
BIFER,11534
NOAIN,11168
huawei,10508
tencent,10439
other,0
